YF.download() has changed argument auto_adjust default to True
[*********************100%***********************]  1 of 1 completed
[*********************100%***********************]  1 of 1 completed
===== Backtest SPY 0DTE Put Credit Spread =====
Period: 2024-05-19 to 2025-05-19
Trades: 249
Wins: 197, Losses: 52, Win Rate: 79.1%
Total P&L: $9051.25
      date    K_short     K_long     credit         pnl
2024-12-11 600.679891 597.664594  89.762518   89.762518
2024-12-12 601.441665 598.347150  92.144068   -2.376441
2024-12-13 601.273360 598.204095  91.384725    1.768471
2024-12-16 600.795333 597.533616  97.178385   97.178385
2024-12-17 598.892382 595.380591 104.720821  104.720821
2024-12-18 597.623188 591.537497 183.061327 -425.507808
2024-12-19 585.444569 580.241435 156.105150 -150.143712
2024-12-20 578.389768 574.467871 117.166515  117.166515
2024-12-23 587.598448 583.955923 108.692697  108.692697
2024-12-24 592.967937 589.840512  93.148252   93.148252
2024-12-26 596.347890 593.101527  96.723824   96.723824
2024-12-27 594.286863 590.784563 104.444005   -1.695938
2024-12-30 584.559778 580.802631 112.164658  112.164658
2024-12-31 586.572763 582.813476 112.224362 -112.825372
2025-01-02 586.003895 582.123121 115.900940 -195.828847
2025-01-03 584.315272 580.832992 103.860855  103.860855
2025-01-06 593.015652 589.501181 104.813942  104.813942
2025-01-07 593.997698 590.088040 116.754060 -274.211722
2025-01-08 585.338348 581.511545 114.269612  114.269612
2025-01-10 582.371309 578.169536 125.637766 -236.596878
2025-01-13 572.352314 568.296532 121.240980  121.240980
2025-01-14 580.933713 576.919734 119.948618   70.968142
2025-01-15 587.100886 583.604167 104.290725  104.290725
2025-01-16 590.876422 587.252748 108.115738    7.033590
2025-01-17 593.708262 590.204997 104.474324  104.474324
2025-01-21 597.481420 594.156222  99.096981   99.096981
2025-01-22 602.699823 599.336698 100.230236  100.230236
2025-01-23 602.587910 599.243175  99.676252   99.676252
2025-01-24 606.592475 603.263516  99.193591   54.600593
2025-01-27 591.395432 587.485486 116.769625  116.769625
2025-01-28 597.308043 593.686726 108.030175  108.030175
2025-01-29 600.377131 596.704037 109.586972   72.380422
2025-01-30 600.682075 597.166428 104.833457  104.833457
2025-01-31 604.148219 600.480981 109.401696 -257.322108
2025-02-03 589.203032 585.151431 121.064774  121.064774
2025-02-04 594.460682 590.681486 112.806949  112.806949
2025-02-05 597.386480 593.905527 103.793508  103.793508
2025-02-06 602.732450 599.280305 102.913878  102.913878
2025-02-07 603.531463 599.843517 110.028469 -258.766197
2025-02-10 600.754445 597.245014 104.645766  104.645766
2025-02-11 599.263177 595.716096 105.784925  105.784925
2025-02-12 595.943359 592.444469 104.337652  104.337652
2025-02-13 601.267513 597.912381  99.992040   99.992040
2025-02-14 606.729256 603.417435  98.677056   98.677056
2025-02-18 607.610169 604.163669 102.734129  102.734129
2025-02-19 606.821901 603.397760 102.061566  102.061566
2025-02-20 608.237704 604.718172 104.935282  104.935282
2025-02-21 606.628625 602.548741 121.872788 -286.115570
2025-02-24 598.465625 594.271046 125.370577 -179.303529
2025-02-25 593.583791 589.325144 127.327993   14.725218
2025-02-26 592.400734 588.222504 124.893031  124.893031
2025-02-27 593.132671 588.506395 138.494115 -324.133535
2025-02-28 582.045308 577.826616 126.152102  126.152102
2025-03-03 592.319388 587.340214 149.241010 -348.676438
2025-03-04 575.892862 570.897311 149.812837   73.514948
2025-03-05 573.029022 568.391017 138.927592  138.927592
2025-03-06 571.574069 566.330488 157.409559   99.239688
2025-03-07 567.152796 562.262231 146.649207  146.649207
2025-03-10 563.486347 557.698674 174.127670 -284.632810
2025-03-11 555.433204 549.919774 165.761542   47.709653
2025-03-12 558.407957 553.416398 149.772963   28.362056
2025-03-13 554.716830 549.670670 151.459511 -343.606103
2025-03-14 552.592992 548.152893 132.983702  132.983702
2025-03-17 559.337308 555.102151 126.727135  126.727135
2025-03-18 561.233970 556.738883 134.623661  -55.033115
2025-03-19 559.428826 555.318493 122.936434  122.936434
2025-03-20 559.934325 555.840875 122.422372  122.422372
2025-03-21 557.625040 553.655152 118.681244  118.681244
2025-03-24 569.266947 565.591323 109.737389  109.737389
2025-03-25 573.783778 570.148710 108.499996  108.499996
2025-03-26 573.570822 569.687935 115.998527 -272.290229
2025-03-27 565.552362 561.648824 116.646630  116.646630
2025-03-28 563.654163 559.150052 134.888906 -315.522191
2025-03-31 547.954140 543.448596 134.994846  134.994846
2025-04-01 555.590881 551.126694 133.705155  133.705155
2025-04-02 553.220581 548.828316 131.525676  131.525676
2025-04-03 542.623154 536.620062 180.897295 -411.416919
2025-04-04 520.129342 511.468823 263.931486 -602.120412
2025-04-07 485.767862 477.383958 255.814899  255.814899
2025-04-08 517.821614 507.876582 304.641131 -689.862141
2025-04-09 490.929084 484.850627 183.655749  183.655749
2025-04-10 528.917770 520.996354 240.594256 -193.180994
2025-04-11 520.050467 512.862077 217.823138  217.823138
2025-04-14 541.498496 535.335225 185.843513  -52.006622
2025-04-15 537.200037 531.237254 179.695881  179.695881
2025-04-16 529.050409 522.689740 192.043651 -146.999954
2025-04-17 525.261598 519.521807 172.915691  172.915691
2025-04-21 518.492837 512.035147 195.142759 -266.140430
2025-04-22 517.725076 511.893090 175.812582  175.812582
2025-04-23 538.089522 532.446276 169.856482  -97.097399
2025-04-24 534.552927 529.335026 156.824210  156.824210
2025-04-25 544.575499 539.585599 149.790835  149.790835
2025-04-28 549.272015 544.176563 152.994478  152.994478
2025-04-29 546.881782 542.005306 146.313383  146.313383
2025-04-30 545.503428 540.533068 149.188805  149.188805
2025-05-01 558.263471 553.197347 152.051949  152.051949
2025-05-02 562.769350 558.059260 141.165266  141.165266
2025-05-05 560.535936 555.646830 146.634780  146.634780
2025-05-06 555.819319 550.742720 152.384410  152.384410
2025-05-07 558.132249 553.282561 145.442847  145.442847
2025-05-08 563.294559 558.621475 140.035428  140.035428
2025-05-09 564.579656 560.016265 136.689557  112.726635
2025-05-12 579.827813 575.889763 117.651708  117.651708
2025-05-13 581.777403 577.862515 116.944970  116.944970
2025-05-14 586.129410 582.098944 120.433230  120.433230
2025-05-15 583.956127 580.110412 114.845377  114.845377
2025-05-16 589.683646 585.928306 112.097383  112.097383
Results saved to backtests/2025-05-19_SPY/SPY_results.csv
Charts saved to backtests/2025-05-19_SPY/charts
